cod_ibge,ano,mes,tipo_unidade,estabelecimentos
1702109,2022,12,81,2
1702109,2022,12,69,1
1702109,2022,12,77,1
1702109,2022,12,43,5
1702109,2022,12,80,1
1702109,2022,12,22,169
1702109,2022,12,50,3
1702109,2022,12,68,1
1702109,2022,12,2,21
1702109,2022,12,5,5
1702109,2022,12,36,43
1702109,2022,12,70,3
1702109,2022,12,40,1
1702109,2022,12,76,1
1702109,2022,12,79,1
1702109,2023,12,68,1
1702109,2023,12,70,4
1702109,2023,12,73,2
1702109,2023,12,39,37
1702109,2023,12,43,10
1702109,2023,12,81,2
1702109,2023,12,84,2
1702109,2023,12,2,22
1702109,2023,12,22,177
1702109,2023,12,62,3
1702109,2023,12,50,4
1702109,2023,12,7,2
1702109,2023,12,5,4
1702109,2023,12,36,51
1702109,2023,12,79,1
1702109,2023,12,69,1
1702109,2023,12,76,1
1702109,2023,12,72,1
1702109,2023,12,42,9
1702109,2023,12,40,1
1702109,2023,12,80,1
1702109,2023,12,77,1
1702109,2024,12,69,1
1702109,2024,12,72,1
1702109,2024,12,4,1
1702109,2024,12,36,58
1702109,2024,12,79,1
1702109,2024,12,22,195
1702109,2024,12,42,9
1702109,2024,12,50,4
1702109,2024,12,77,1
1702109,2024,12,5,4
1702109,2024,12,7,2
1702109,2024,12,40,1
1702109,2024,12,62,3
1702109,2024,12,73,1
1702109,2024,12,76,1
1702109,2024,12,80,1
1702109,2024,12,81,2
1702109,2024,12,2,22
1702109,2024,12,39,39
1702109,2024,12,70,4
1702109,2024,12,43,13
1702109,2024,12,68,1
1702109,2024,12,84,2
1702158,2019,12,50,1
1702158,2019,12,74,1
1702158,2019,12,36,1
1702158,2019,12,2,4
1702158,2019,12,68,1
1702158,2020,12,2,4
1702158,2020,12,36,1
1702158,2020,12,74,1
1702158,2020,12,50,1
1702158,2020,12,68,1
1702158,2021,12,74,1
1702158,2021,12,2,4
1702158,2021,12,50,1
1702158,2021,12,68,1
1702158,2021,12,36,1
1702158,2022,12,1,1
1702158,2022,12,50,1
1702158,2022,12,74,1
1702158,2022,12,36,1
