cod_ibge,ano,rede,ensino,ideb,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa
1700707,2013,municipal,fundamental,4.9,94.1,0.94139302,261.86,248.52
1700707,2013,publica,fundamental,5.7,96.1,0.96197498,224.42,202.5
1700707,2013,publica,fundamental,4.6,89.8,0.89629602,260.7,249.14
1700707,2015,estadual,fundamental,5.1,90.1,0.90308201,212.91,199.89
1700707,2015,estadual,fundamental,4.5,87.9,0.88062203,250.79,255.8
1700707,2015,municipal,fundamental,5.7,98.0,0.97671801,213.79,209.74
1700707,2015,municipal,fundamental,4.8,90.7,0.90624601,259.24,259.27
1700707,2017,estadual,fundamental,5.2,86.7,0.86699998,219.57,209.25
1700707,2017,estadual,fundamental,4.7,85.6,0.85233498,259.44,268.54
1700707,2017,estadual,medio,3.4,84.1,0.84578198,253.28,255.96
1700707,2017,municipal,fundamental,5.6,96.6,0.96255201,214.39,208.55
1700707,2017,municipal,fundamental,5.4,96.7,0.96649498,263.17,272.13
1700707,2017,publica,fundamental,5.6,95.7,0.95405298,216.55,208.85
1700707,2017,publica,fundamental,5.1,92.2,0.92021197,261.63,270.64
1700707,2017,publica,medio,3.4,84.1,0.84578198,253.28,255.96
1700707,2019,estadual,fundamental,6.0,90.0,0.89999998,236.61,233.07
1700707,2019,estadual,fundamental,4.9,95.0,0.94531,254.35,254.91
1700707,2019,estadual,medio,,86.4,0.86632401,,
1700707,2019,municipal,fundamental,4.8,94.3,0.942577,259.67,246.19
1700707,2019,municipal,fundamental,5.7,96.5,0.96348298,219.47,205.27
1700707,2019,publica,fundamental,5.8,96.2,0.96016401,222.89,210.83
1700707,2019,publica,fundamental,4.8,94.6,0.944857,257.48,249.78
1700707,2019,publica,medio,,86.4,0.86632401,,
1700707,2021,estadual,fundamental,5.8,100.0,1.0,213.98,208.18
1700707,2021,estadual,fundamental,5.3,100.0,1.0,259.18,259.63
1700707,2021,estadual,medio,3.9,92.7,0.926257,257.65,258.89
1700707,2021,municipal,fundamental,4.8,99.3,0.992957,188.15,182.07
1700707,2021,municipal,fundamental,,92.8,0.927431,,
1700707,2021,publica,fundamental,5.1,95.8,0.958316,261.96,260.45
1700707,2021,publica,fundamental,5.0,99.3,0.993157,193.26,187.24
1700707,2021,publica,medio,3.9,92.7,0.926257,257.65,258.89
1700707,2023,estadual,fundamental,6.3,100.0,1.0,230.35,214.65
1700707,2023,estadual,fundamental,5.5,99.6,0.996207,266.46,266.86
1700707,2023,estadual,medio,4.4,95.8,0.961545,262.7,278.93
1700707,2023,municipal,fundamental,5.2,99.4,0.99295,251.52,261.16
1700707,2023,municipal,fundamental,5.8,99.6,0.996178,215.13,206.38
1700707,2023,publica,fundamental,5.3,99.5,0.99421,257.3,263.36
1700707,2023,publica,fundamental,5.9,99.6,0.996178,219.52,208.77
1700707,2023,publica,medio,4.4,95.8,0.961545,262.7,278.93
1701002,2009,estadual,fundamental,4.0,91.1,0.91414702,231.38,230.53
1701002,2009,estadual,fundamental,4.1,94.6,0.95011199,177.61,164.17
1701002,2009,municipal,fundamental,3.9,92.5,0.92172599,173.46,163.46
1701002,2009,publica,fundamental,4.0,91.1,0.91414702,231.38,230.53
1701002,2009,publica,fundamental,4.0,93.6,0.93693298,176.57,164.0
1701002,2011,estadual,fundamental,4.3,94.7,0.94733799,237.46,235.67
1701002,2011,estadual,fundamental,4.8,95.8,0.96164602,198.19,176.66
1701002,2011,municipal,fundamental,,,,,
1701002,2011,publica,fundamental,4.8,96.8,0.96704203,198.19,176.66
1701002,2011,publica,fundamental,4.3,94.7,0.94733799,237.46,235.67
1701002,2013,estadual,fundamental,3.8,83.8,0.83755797,240.0,232.8
