cod_ibge,nome,nume_cid,pgai,tipo_cidd,regiao_num,territ_cid,utr,criacao,area,pop_1996,pop_2000,pop_2007,pop_2008,pop_2009,assoc_mun,reg_pm,art_pm,region_ibg,cod_region,pop_2010,ppa_2012_2,number,regionaliz,areaoficia,reg_tur,nova_regio,nova_reg_o,munic,pib10_1000,pib11_1000,pib12_1000,pib13_1000,pib14_1000,pib15_1000,pib16_1000,pcap_2010,pcap_2011,pcap_2012,pcap_2013,pcap_2014,pcap_2015,pcap_2016
1720499,São Valério da Natividade,107-São Valério da Natividade,Outros,Menor impacto re,XIII,Sudeste,Regiao Sudeste,1980,2520,4807,5054,4885,5024,5017,,4º BPM - Gurupi,4º BPM,Dianópolis,17008,4383,Dianópolis,120,Região Sudeste,2519.572,Sem Região,Área-Programa Sudeste,X,São Valério,36556.367,37138.387,40926.487,54167.354,74911.924,89407.203,69729.012,8338.59,8573.03,9557.8,12532.94,17556.11,21216.71,16757.75
1705102,Chapada da Natividade,103-Chapada da Natividade,Outros,Menor impacto re,XIII,Sudeste,Regiao Sudeste,1997,1671,0,3274,3680,3791,3840,Portal do Sudeste-Assoc. Municipios do Sudeste,2ª CIPM - Dianópolis,2ª CIPM,Dianópolis,17008,3276,Dianópolis,122,Região Sudeste,1671.256,Sem Região,Área-Programa Sudeste,X,Chapada da Natividade,27637.364,31173.743,40864.711,43801.982,56448.981,60988.682,61465.337,8426.03,9509.99,12466.35,13028.55,16785.3,18135.2,18276.94
1714203,Natividade,104-Natividade,Outros,Menor impacto re,XIII,Sudeste,Regiao Sudeste,1734,3216,11623,8867,9090,9355,9396,Portal do Sudeste-Assoc. Municipios do Sudeste,2ª CIPM - Dianópolis,2ª CIPM,Dianópolis,17008,9000,Dianópolis,124,Região Sudeste,3215.903,Serras Gerais,Área-Programa Sudeste,X,Natividade,66308.32,80041.917,81543.822,112952.043,109595.28,121954.967,124821.417,7367.59,8882.69,9039.33,12187.32,11811.11,13126.14,13420.21
1718907,Santa Rosa do Tocantins,106-Santa Rosa do Tocantins,Outros,Menor impacto re,XIII,,Regiao Sudeste,1988,1796,3764,4316,4417,4545,4565,,5º BPM - Porto Nacional,5º BPM,Dianópolis,17008,4568,Dianópolis,121,Região Metropolitana de Palmas,1796.248,Sem Região,Área-Programa Sudeste,X,Santa Rosa do Tocantins,42419.266,55331.14,65130.882,76075.32,93430.721,109430.261,87264.85,9286.18,12059.97,14137.37,16009.12,19574.84,22826.5,18127.31
1700350,Aliança do Tocantins,109-Aliança do Tocantins,Outros,Menor impacto re,XIV,,<Null>,1988,1580,7201,6177,5701,5860,5822,OMCO-Organização Municipios do Centro Oeste,4º BPM - Gurupi,4º BPM,Gurupi,17005,5651,Gurupi,109,Região Metropolitana de Gurupi,1579.742,Sem Região,Área-Programa Sul,IX,Aliança do Tocantins,46763.86,51979.437,52878.846,63293.808,64886.927,73158.421,94295.118,8257.79,9227.67,9451.09,11131.52,11494.58,13052.35,16944.32
1706258,Crixás do Tocantins,113-Crixás do Tocantins,Outros,Menor impacto re,XIV,,<Null>,1997,987,0,1384,1264,1299,1289,OMCO-Organização Municipios do Centro Oeste,4º BPM - Gurupi,4º BPM,Gurupi,17005,1566,Gurupi,108,Região Metropolitana de Gurupi,986.689,Sem Região,Área-Programa Sul,IX,Crixás do Tocantins,18920.415,20520.447,24688.119,25061.055,29517.425,37604.364,39209.026,12082,13004.09,15507.61,15179.32,17717.54,22383.55,23145.82
1707306,Dueré,114-Dueré,Javaés,Menor impacto re,XIV,,<Null>,1958,3425,4190,4565,4489,4617,4618,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Rio Formoso,17004,4588,Gurupi,105,Região Metropolitana de Gurupi,3424.836,Sem Região,Área-Programa  Sudoeste( Ilha do Bananal),VIII,Dueré,55728.945,68883.09,70078.119,78198.595,92607.369,116330.263,125620.667,12144.03,14990.88,15244.32,16574.52,19620.21,24635.8,26586.38
1700400,Almas,123-Almas,Outros,Menor impacto re,XV,Sudeste,Regiao Sudeste,1958,4021,7747,8474,7488,7692,7605,Portal do Sudeste-Assoc. Municipios do Sudeste,2ª CIPM - Dianópolis,2ª CIPM,Dianópolis,17008,7540,Dianópolis,125,Região Sudeste,4021.111,Serras Gerais,Área-Programa Sudeste,X,Almas,62942.269,73073.801,83699.413,93825.502,107424.032,119955.233,125462.66,8287.33,9719.85,11231.81,12422.28,14361.5,16190.48,17093.01
1717008,Pindorama do Tocantins,105-Pindorama do Tocantins,Outros,Menor impacto re,XIII,Sudeste,Regiao Sudeste,1963,1559,4716,4685,4397,4521,4500,Portal do Sudeste-Assoc. Municipios do Sudeste,5º BPM - Porto Nacional,5º BPM,Dianópolis,17008,4506,Dianópolis,123,Região Sudeste,1559.08,Sem Região,Área-Programa Sudeste,X,Pindorama do Tocantins,27275.386,30902.829,33522.411,38520.136,41957.526,44279.528,48550.865,6053.13,6877.99,7484.35,8417.86,9197.18,9738.19,10708.17
1709807,Ipueiras,66-Ipueiras do Tocantins,Outros,Menor impacto re,IX,,,,815,0,1166,1698,1754,1813,OMCO-Organização Municipios do Centro Oeste,5º BPM - Porto Nacional,5º BPM,Porto Nacional,17006,1639,Palmas,92,Região Metropolitana de Palmas,815.25,Serras e Lago,Área-Programa Central,VI,Ipueiras,15535.533,20869.825,24957.572,27535.767,30945.199,30310.98,30276.69,9478.67,12452.16,14586.54,15263.73,16790.67,16114.29,15785.55
