cod_ibge,nome,bubal_1989,bubal_1990,bubal_1991,bubal_1992,bubal_1993,bubal_1994,bubal_1995,bubal_1996,bubal_1997,bubal_1998,bubal_1999,bubal_2000,bubal_2001,bubal_2002,bubal_2003,bubal_2004,bubal_2005,bubal_2006,bubal_2007,bubal_2008,bubal_2009,bubal_2010,bubal_2011,bubal_2012,bubal_2013,bubal_2014,bubal_2015,bubal_2016,bubal_2017,bubal_2018
1701903,Araguacema,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,80,100,110,100,0,20,18,20,22,40,38,40,32,23
1718501,Recursolândia,0,0,0,0,0,0,0,215,230,250,300,250,280,230,190,160,130,110,0,20,20,18,19,20,20,15,10,10,0,0
1718402,Presidente Kennedy,0,0,0,0,0,0,0,30,50,50,60,60,70,90,100,95,105,123,100,300,350,415,430,400,420,200,147,61,45,27
1706001,Couto de Magalhães,720,750,770,790,580,600,650,50,60,65,75,75,80,65,55,45,36,30,0,40,45,45,40,45,40,96,31,31,78,76
1711100,Itaporã do Tocantins,0,0,0,0,0,0,0,65,70,75,100,110,120,100,85,90,72,157,60,70,80,80,90,80,85,47,18,1,31,22
1710508,Itacajá,0,0,0,0,0,0,0,0,0,0,0,10,15,15,13,11,13,24,0,40,37,30,25,23,50,66,99,261,175,103
1703602,Brasilândia do Tocantins,0,0,0,0,0,0,0,220,220,230,250,210,350,410,330,6000,500,420,550,450,380,350,350,360,380,354,277,264,170,162
1721307,Tupiratins,0,0,0,0,0,0,0,1,1,2,5,5,10,9,10,9,8,6,0,0,0,0,0,0,0,0,0,0,0,0
1716653,Pequizeiro,110,120,130,140,150,160,170,120,130,150,200,200,215,180,150,125,105,85,210,240,195,160,135,130,140,140,121,108,71,72
1711803,Juarina,0,0,0,0,240,250,250,0,0,0,0,0,0,5,170,175,210,170,150,125,105,85,70,70,75,28,22,22,21,26
1710904,Itapiratins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,200,210,250,210,200,57,194,100,79,77
1703842,Campos Lindos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,42,54,68,97,98,90,85
1705508,Colinas do Tocantins,0,0,0,200,210,250,260,290,290,300,350,1050,1100,900,750,650,600,645,750,730,850,820,800,1110,1160,1374,964,572,576,496
1703206,Bernardo Sayão,120,200,300,350,380,400,430,320,330,350,400,850,700,820,660,530,450,380,90,75,75,65,50,60,50,60,94,45,72,172
1703057,Bandeirantes do Tocantins,0,0,0,0,0,0,0,0,1000,1100,1200,3250,4200,3800,3050,2450,1980,1780,950,780,630,510,520,430,380,380,417,722,496,435
1702307,Arapoema,1500,2200,3000,3500,2950,3200,3300,1850,820,850,900,215,250,100,115,120,100,135,145,120,100,85,70,80,75,80,80,79,49,29
1709005,Goiatins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,22,18,17,18,10,7,4,4,3,20
1715705,Palmeirante,0,0,0,0,0,0,0,8,10,10,15,15,20,20,25,150,130,178,210,230,240,195,190,230,235,170,132,141,127,95
1714880,Nova Olinda,0,0,0,0,0,0,0,0,0,0,0,30,35,200,165,135,110,100,60,70,80,90,90,50,100,69,71,76,65,54
1703073,Barra do Ouro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716307,Pau d'Arco,0,0,0,0,850,900,950,1200,1200,1250,1300,1100,1150,15,15,17,20,28,23,25,70,60,50,55,50,2,5,4,5,27
1707702,Filadélfia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,9,9,10,7,11
1702109,Araguaína,7600,7800,8000,10000,5600,5770,6100,5700,6160,6180,6200,6400,6450,6500,6538,6000,600,630,710,720,745,750,760,780,583,582,39,65,47,55
1703883,Carmolândia,0,0,0,0,540,567,580,260,270,275,280,300,320,350,370,378,6,7,5,6,8,10,8,7,1,1,0,0,0,0
1703008,Babaçulândia,100,110,120,125,132,140,145,149,0,0,0,3,3,4,5,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0
1718865,Santa Fé do Araguaia,0,0,0,0,220,250,255,45,46,48,52,60,64,67,71,75,120,125,120,125,136,130,125,130,88,96,111,127,174,174
1713957,Muricilândia,0,0,0,0,3100,3225,3450,3,3,4,5,8,9,11,31,36,58,60,62,100,110,115,110,112,59,64,86,79,76,59
1701309,Aragominas,0,0,0,0,200,210,225,220,245,250,260,270,280,290,300,310,320,340,120,126,140,135,140,143,58,60,85,86,48,42
1722081,Wanderlândia,0,0,0,0,0,0,0,11,12,14,17,40,42,45,50,52,53,55,40,43,50,55,60,58,63,83,64,62,72,53
1706506,Darcinópolis,0,0,0,0,0,0,0,0,0,0,0,176,180,200,220,228,0,0,0,0,0,0,0,0,0,0,0,5,5,8
1702158,Araguanã,0,0,0,0,1400,1500,1540,125,140,143,150,80,88,95,97,99,20,22,2,52,60,65,62,64,54,60,78,78,72,76
1713809,Palmeiras do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1717206,Piraquê,0,0,0,0,200,210,215,0,0,0,0,0,0,0,0,0,35,36,22,23,25,20,15,14,1,1,5,11,24,3
1700301,Aguiarnópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720002,Santa Terezinha do Tocantins,0,0,0,0,0,0,0,0,0,0,0,536,537,560,767,919,990,867,864,894,1164,853,865,968,256,299,337,448,500,479
1718550,Riachinho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,9,9,10,0,0,0,0,0,0
