cod_ibge,nome,miel1989,miel1990,miel1991,miel1992,miel1993,miel1994,miel1995,miel1996,miel1997,miel1998,miel1999,miel2000,miel2001,miel2002,miel2003,miel2004,miel2005,miel2006,miel2007,miel2008,miel2009,miel2010,miel2011,miel2012,miel2013,miel2014,miel2015,miel2016,miel2017,miel2018
1713809,Palmeiras do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,50,80,100,200,200,250,262,275,280,258,235,278,203,154,130,0,0
1717206,Piraquê,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,300,350,360,320,650,600,250,200,50,0
1700301,Aguiarnópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,285,306,200,160,140,115,0,0
1720002,Santa Terezinha do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,60,80,100,100,140,200,250,262,275,280,275,248,231,435,376,410,200,150
1718550,Riachinho,0,0,0,0,0,0,0,0,420,430,440,2490,2500,2600,2650,2700,2850,3000,2000,2200,1800,1963,1896,2072,2182,2003,1594,1125,935,900
1722107,Xambioá,0,0,0,0,0,0,0,0,200,240,260,270,320,400,490,520,540,600,650,780,850,900,950,850,340,320,190,200,0,0
1701051,Angico,0,0,0,0,0,0,0,0,10,20,40,50,70,150,300,380,400,500,500,650,600,632,598,532,549,415,302,200,100,110
1714302,Nazaré,0,0,0,0,0,0,0,71,75,80,90,80,750,700,2800,3920,3134,3200,3400,3570,3748,3740,3682,3728,3321,3116,2700,2900,3360,5000
1712454,Luzinópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,618,590,647,449,276,180,120,100
1721208,Tocantinópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,120,120,150,170,180,189,195,180,168,193,150,130,100,0,0
1703826,Cachoeirinha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,598,567,503,330,205,130,90,75
1701002,Ananás,0,0,0,0,0,0,0,0,70,80,100,2490,2560,2700,2830,3000,3100,4100,2000,2000,1500,1650,1586,1464,1407,1115,900,800,600,500
1712801,Maurilândia do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,80,100,145,250,250,200,190,180,180,192,187,203,190,100,60,0,0
1720101,São Bento do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,215,202,271,240,150,100,200,250
1710706,Itaguatins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0
1702901,Axixá do Tocantins,0,0,0,0,0,675,1690,300,350,320,300,200,350,400,2780,2980,3000,3000,3100,3255,3425,4900,900,1000,1060,2231,1986,1990,0,0
1720804,Sítio Novo do Tocantins,0,0,0,0,0,350,553,3081,2900,2700,2500,2050,500,500,600,600,600,700,650,617,586,580,0,0,0,0,1375,1400,200,0
1720200,São Miguel do Tocantins,0,0,0,0,0,375,380,1110,1120,1050,900,620,350,350,380,470,470,500,490,514,539,540,0,0,0,550,705,700,150,0
1702554,Augustinópolis,0,0,0,0,0,0,0,160,170,160,150,130,200,200,300,450,500,600,700,0,0,500,300,250,260,260,356,360,0,0
1718303,Praia Norte,0,0,0,0,0,352,460,892,880,800,700,550,400,300,320,400,400,400,0,0,0,400,0,0,0,150,80,85,0,0
1702208,Araguatins,0,0,0,0,0,0,0,1247,1250,1100,990,440,500,500,600,900,900,1200,1450,0,0,5198,3000,3200,3400,4418,4800,4800,2043,10000
1703800,Buriti do Tocantins,0,0,0,0,0,325,530,0,0,0,0,0,0,0,80,200,200,250,200,200,200,200,500,600,640,0,0,0,0,0
1703891,Carrasco Bonito,0,0,0,0,0,0,0,450,465,450,400,250,100,100,120,200,200,200,250,622,653,660,0,0,0,265,270,280,0,0
1718808,Sampaio,0,0,0,0,0,245,750,760,620,580,500,400,1200,1000,1200,600,600,600,650,684,718,720,0,0,0,1575,1750,1800,30,0
1707405,Esperantina,0,0,0,0,0,378,680,473,500,420,400,350,1600,1200,1400,1600,1650,1700,1600,1680,1762,8000,2000,0,0,3640,3410,3450,0,0
1720309,São Sebastião do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,50,80,140,140,200,190,200,210,220,0,0,0,235,260,250,80,0
1712157,Lavandeira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702703,Aurora do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1717800,Ponte Alta do Bom Jesus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1715259,Novo Jardim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707009,Dianópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718659,Rio da Conceição,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712702,Mateiros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
1709302,Guaraí,0,0,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0,10000,10500,12000,13000,12800,2600,2500,2300,4600,4800,4320,4200,4100,4100
