cod_ibge,nome,cultura,ano,area_plantada_ha,area_colhida_ha,quantidade_ton,valor_mil_reais
1703602,Brasilândia do Tocantins,feijao,2024,...,...,...,...
1703701,Brejinho de Nazaré,feijao,2024,...,...,...,...
1703800,Buriti do Tocantins,feijao,2024,...,...,...,...
1703826,Cachoeirinha,feijao,2024,...,...,...,...
1703842,Campos Lindos,feijao,2024,...,...,...,...
1703867,Cariri do Tocantins,feijao,2024,...,...,...,...
1703883,Carmolândia,feijao,2024,...,...,...,...
1703891,Carrasco Bonito,feijao,2024,...,...,...,...
1703909,Caseara,feijao,2024,...,...,...,...
1704105,Centenário,feijao,2024,...,...,...,...
1704600,Chapada de Areia,feijao,2024,...,...,...,...
1705102,Chapada da Natividade,feijao,2024,...,...,...,...
1705508,Colinas do Tocantins,feijao,2024,...,...,...,...
1705557,Combinado,feijao,2024,...,...,...,...
1705607,Conceição do Tocantins,feijao,2024,...,...,...,...
1706001,Couto Magalhães,feijao,2024,...,...,...,...
1706100,Cristalândia,feijao,2024,...,...,...,...
1706258,Crixás do Tocantins,feijao,2024,...,...,...,...
1706506,Darcinópolis,feijao,2024,...,...,...,...
1707009,Dianópolis,feijao,2024,...,...,...,...
1707108,Divinópolis do Tocantins,feijao,2024,...,...,...,...
1707207,Dois Irmãos do Tocantins,feijao,2024,...,...,...,...
1707306,Dueré,feijao,2024,...,...,...,...
1707405,Esperantina,feijao,2024,...,...,...,...
1707553,Fátima,feijao,2024,...,...,...,...
1707652,Figueirópolis,feijao,2024,...,...,...,...
1707702,Filadélfia,feijao,2024,...,...,...,...
1708205,Formoso do Araguaia,feijao,2024,...,...,...,...
1708254,Tabocão,feijao,2024,...,...,...,...
1708304,Goianorte,feijao,2024,...,...,...,...
1709005,Goiatins,feijao,2024,...,...,...,...
1709302,Guaraí,feijao,2024,...,...,...,...
1709500,Gurupi,feijao,2024,...,...,...,...
1709807,Ipueiras,feijao,2024,...,...,...,...
1710508,Itacajá,feijao,2024,...,...,...,...
1710706,Itaguatins,feijao,2024,...,...,...,...
1710904,Itapiratins,feijao,2024,...,...,...,...
1711100,Itaporã do Tocantins,feijao,2024,...,...,...,...
1711506,Jaú do Tocantins,feijao,2024,...,...,...,...
1711803,Juarina,feijao,2024,...,...,...,...
1711902,Lagoa da Confusão,feijao,2024,...,...,...,...
1711951,Lagoa do Tocantins,feijao,2024,...,...,...,...
1712009,Lajeado,feijao,2024,...,...,...,...
1712157,Lavandeira,feijao,2024,...,...,...,...
1712405,Lizarda,feijao,2024,...,...,...,...
1712454,Luzinópolis,feijao,2024,...,...,...,...
1712504,Marianópolis do Tocantins,feijao,2024,...,...,...,...
1712702,Mateiros,feijao,2024,...,...,...,...
1712801,Maurilândia do Tocantins,feijao,2024,...,...,...,...
1713205,Miracema do Tocantins,feijao,2024,...,...,...,...
