cod_ibge,ano,cnae_2_secao,vinculos
1700400,2019,01,237
1700400,2019,23,9
1700400,2019,82,3
1700400,2020,01,191
1700400,2020,55,5
1700400,2020,69,6
1700400,2020,53,2
1700400,2020,07,14
1700400,2020,23,6
1700400,2020,45,5
1700400,2020,35,7
1700400,2020,09,1
1700400,2020,47,73
1700400,2020,84,5
1700400,2020,02,1
1700400,2020,56,2
1700400,2020,08,2
1700400,2020,86,2
1700400,2020,10,45
1700400,2020,82,6
1700400,2021,35,10
1700400,2021,42,16
1700400,2021,56,3
1700400,2021,79,2
1700400,2021,47,73
1700400,2021,49,3
1700400,2021,84,533
1700400,2021,86,4
1700400,2021,03,4
1700400,2021,45,3
1700400,2021,08,3
1700400,2021,82,10
1700400,2021,01,277
1700400,2021,53,2
1700400,2021,10,8
1700400,2021,07,35
1700400,2021,55,3
1700400,2021,61,3
1700400,2021,23,7
1700400,2022,56,34
1700400,2022,23,11
1700400,2022,41,563
1700400,2022,84,625
1700400,2022,08,2
1700400,2022,61,8
1700400,2022,01,334
1700400,2022,10,32
1700400,2022,47,125
1700400,2022,49,105
1700400,2022,69,7
1700400,2022,81,6
1700400,2022,86,5
1700400,2022,53,2
1700400,2022,07,204
1700400,2022,55,34
1700400,2022,79,3
1700400,2022,82,8
1700400,2022,35,9
1700400,2022,42,500
1700400,2022,45,4
1700400,2022,77,1
1700400,2022,03,4
1700400,2023,85,379
1700400,2023,86,178
1700400,2023,11,284
1700400,2023,45,1
1700400,2023,69,7
1700400,2023,16,29
1700400,2023,71,26
1700400,2023,46,5
1700400,2023,32,4
1700400,2023,35,9
1700400,2023,84,251
1700400,2023,42,617
1700400,2023,12,1
1700400,2023,77,1
1700400,2023,53,2
1700400,2023,81,3
1700400,2023,55,21
1700400,2023,41,299
1700400,2023,56,40
1700400,2023,72,286
1700400,2023,88,33
1700400,2023,33,2
1700400,2023,82,5
1700400,2023,10,22
1700400,2023,23,9
1700400,2023,47,141
1700400,2023,15,131
1700400,2023,49,447
1700400,2023,61,19
1700400,2023,79,2
1700400,2024,15,127
1700400,2024,42,11
1700400,2024,85,364
1700400,2024,81,21
1700400,2024,84,231
1700400,2024,56,31
1700400,2024,69,7
1700400,2024,53,2
1700400,2024,61,18
1700400,2024,71,40
1700400,2024,77,181
1700400,2024,72,276
1700400,2024,43,486
1700400,2024,12,1
1700400,2024,91,6
1700400,2024,45,1
1700400,2024,16,35
1700400,2024,86,174
1700400,2024,35,9
1700400,2024,47,181
1700400,2024,88,36
1700400,2024,46,5
1700400,2024,41,18
1700400,2024,82,6
1700400,2024,23,8
1700400,2024,10,18
1700400,2024,49,358
1700400,2024,32,4
1700400,2024,79,2
1700400,2024,11,273
1700400,2024,55,13
1700400,2024,33,3
1700707,2019,64,8
1700707,2019,18,1
1700707,2019,74,1
1700707,2019,49,59
1700707,2019,45,21
1700707,2019,47,286
1700707,2019,68,6
1700707,2019,86,13
1700707,2019,60,1
1700707,2019,43,39
1700707,2019,69,30
1700707,2019,01,229
1700707,2019,94,6
1700707,2019,46,31
1700707,2019,52,18
1700707,2019,56,60
1700707,2019,02,8
1700707,2019,53,5
1700707,2019,10,683
1700707,2019,84,468
1700707,2019,96,9
1700707,2019,35,13
1700707,2019,25,11
1700707,2019,71,3
1700707,2019,85,30
1700707,2019,61,3
1700707,2019,55,13
1700707,2019,77,2
1700707,2019,82,50
1700707,2019,93,18
1700707,2019,95,2
1700707,2020,64,9
1700707,2020,53,5
1700707,2020,82,55
1700707,2020,68,4
1700707,2020,96,6
1700707,2020,55,15
1700707,2020,69,25
1700707,2020,74,1
1700707,2020,01,234
1700707,2020,52,16
1700707,2020,02,8
1700707,2020,23,51
1700707,2020,93,1
1700707,2020,49,89
1700707,2020,94,8
1700707,2020,10,628
1700707,2020,25,12
1700707,2020,35,13
1700707,2020,43,35
1700707,2020,46,30
1700707,2020,56,61
1700707,2020,61,6
1700707,2020,85,28
1700707,2020,77,2
1700707,2020,45,31
1700707,2020,47,288
1700707,2020,84,483
1700707,2020,86,14
1700707,2021,47,307
1700707,2021,52,17
1700707,2021,86,18
1700707,2021,55,17
1700707,2021,74,1
1700707,2021,01,331
