cod_ibge,nome,tr_efu_eur,tr_efu_eru,tr_efu_mur,tr_efu_mru,tr_efu_pur,tr_efu_pru
1702554,Augustinópolis,14.7,7.4,5.2,7.6,1.4,0
1718303,Praia Norte,14.7,16.3,5.1,7.3,3.1,0
1702208,Araguatins,21.3,7.4,13.2,11.6,0,0
1703800,Buriti do Tocantins,9.9,7.5,7.5,4.4,1.4,0
1703891,Carrasco Bonito,6.4,25.8,8.2,7.7,1.4,0
1718808,Sampaio,5,2.2,11,13.8,3.1,0
1707405,Esperantina,11.2,14.4,22.5,10.9,0,0
1720309,São Sebastião do Tocantins,20.2,4.3,9.6,4.3,3.2,0
1712157,Lavandeira,11.5,7.2,0,5.4,3.4,0
1702703,Aurora do Tocantins,14.7,7.4,6.8,7.6,1.4,0
1717800,Ponte Alta do Bom Jesus,16.2,4.5,0,12.4,0,0
1715259,Novo Jardim,12.3,10.2,18,16.7,10.9,0
1707009,Dianópolis,20.9,4.3,7.9,10.2,0,0
1718659,Rio da Conceição,10.4,16.3,15.2,24.4,3.1,0
1712702,Mateiros,20,2.9,18.4,22.7,3.4,0
1709302,Guaraí,16.6,11.2,2.5,6.1,1.6,0
