cod_ibge_1,color,last_modification,modified_by,nome,shape_area,shape_leng,d_eja_es,d_eja_fe,d_eja_mu,d_eja_pa,d_es_es,d_es_fe,d_es_mu,d_es_pa,do_cre_es,do_cre_mu,do_cre_pa,do_fu_es,do_fu_mu,do_fu_pa,do_me_es,do_me_fe,do_me_mu,do_me_pa,do_pre_es,do_pre_mu,do_pre_pa,do_pro_es,do_pro_fe,do_pro_mu,do_pro_pa
1707108,3,,,Divinópolis do Tocantins,0.19429197,3.85075173,12,0,4,0,28,0,20,0,0,8,0,26,32,0,19,0,0,0,0,12,0,0,0,0,0
1721109,3,,,Tocantínia,0.21495268,2.58245787,35,0,11,0,47,0,21,0,0,7,0,92,37,0,32,0,0,0,0,10,0,27,0,0,0
1718758,1,,,Rio Sono,0.52277967,3.51907302,0,0,1,0,22,0,15,0,0,4,0,26,29,0,17,0,0,0,0,8,0,0,0,0,0
1717503,3,,,Pium,0.82533574,6.69105233,0,0,9,0,16,0,17,0,0,14,0,16,50,0,15,0,0,0,0,7,0,0,0,0,0
1713304,0,,,Miranorte,0.08506216,1.90410905,21,0,2,0,50,0,28,3,0,2,2,35,65,21,22,0,0,0,0,13,5,6,0,0,0
1700251,1,,,Abreulândia,0.15695645,4.21762618,12,0,0,0,0,0,6,0,0,1,0,17,14,0,17,0,0,0,0,4,0,0,0,0,0
1703909,0,,,Caseara,0.13963335,2.12470943,0,0,0,0,20,0,4,0,0,9,0,20,27,0,9,0,0,0,0,7,0,0,0,0,0
1718709,1,,,Rio dos Bois,0.06971184,1.59918143,0,0,1,0,14,0,1,0,0,2,0,14,15,0,9,0,0,0,0,4,0,3,0,0,0
1716505,0,,,Pedro Afonso,0.16616426,2.65796079,15,0,1,0,87,3,15,5,0,9,4,70,40,17,35,0,0,0,0,17,4,0,14,0,7
1708254,2,,,Tabocão,0.05135747,1.6139286,5,0,0,0,26,0,18,0,0,3,0,19,26,0,20,0,0,0,0,7,0,0,0,0,0
1712405,0,,,Lizarda,0.46950337,5.49885419,0,0,3,0,19,0,5,0,0,0,0,27,22,0,9,0,0,0,0,3,0,0,0,0,0
1707207,4,,,Dois Irmãos do Tocantins,0.30838586,4.14760479,11,0,1,0,28,0,16,0,0,5,0,21,39,0,20,0,0,0,0,7,0,1,0,0,0
1703305,1,,,Bom Jesus do Tocantins,0.10911396,2.64378372,0,0,0,0,16,0,13,0,0,6,0,14,20,0,16,0,0,0,0,10,0,0,0,0,0
