cod_ibge_1,nome,abe,ta_ef_eru,ta_ef_eur,ta_ef_mru,ta_ef_mur,ta_ef_pru,ta_ef_pur,ta_em_eru,ta_em_eur,ta_em_fru,ta_em_fur,ta_em_mru,ta_em_pur
1720200,São Miguel do Tocantins,0,73.4,78.7,89.7,75.5,0,0,75.8,79.5,0,0,0,0
1702554,Augustinópolis,0,92.6,0,92.4,94.8,0,98.6,0,74.4,0,0,0,0
1718303,Praia Norte,0,0,0,89.8,93.9,0,0,0,79.2,0,0,0,0
1702208,Araguatins,88,89.5,0,87,85.9,0,100,80.4,75.4,0,0,0,0
1703800,Buriti do Tocantins,0,89.9,0,94.8,92.3,0,0,89.4,86.9,0,0,0,0
1703891,Carrasco Bonito,0,66.7,0,91.1,91,0,0,82.9,92.7,0,0,0,0
1718808,Sampaio,0,0,0,86.2,88.8,0,0,0,95.2,0,0,0,0
1707405,Esperantina,0,83.8,0,86.5,76.3,0,0,82.5,86.6,0,0,0,0
1720309,São Sebastião do Tocantins,0,0,0,92.9,88.8,0,0,0,70.6,0,0,0,0
1712157,Lavandeira,0,0,0,0,100,0,0,0,95.4,0,0,0,0
1702703,Aurora do Tocantins,0,0,84,0,93.2,0,0,0,93.6,0,0,0,0
1717800,Ponte Alta do Bom Jesus,0,89.8,0,84.7,0,0,0,85.3,71,0,0,0,0
1715259,Novo Jardim,0,0,0,83.3,79.7,0,0,0,83.7,0,0,0,0
1707009,Dianópolis,77.3,95.7,0,88.5,91.2,0,100,94.6,75.6,0,0,0,0
1718659,Rio da Conceição,0,0,0,0,84.8,0,0,0,93,0,0,0,0
1712702,Mateiros,0,97.1,0,77.3,81.6,0,0,0,91.4,0,0,0,0
1709302,Guaraí,0,0,0,92.5,97.3,0,98.4,0,71.7,0,0,0,98.9
