cod_ibge_1,color,nome,shape_area,shape_leng,cod_ibge,last_modification_1,modified_by_1,ndc_est_ru,ndc_est_ur,ndc_mun_ru,ndc_mun_u,ndc_mun_ur,ndc_pa_ru,ndc_pa_ur,nde_e_ru,nde_e_ur,nde_m_ur,nde_pa_ur,ndeja_e_r,ndeja_e_ru,ndeja_e_u,ndeja_e_ur,ndeja_m_ru,ndeja_m_u,ndeja_m_ur,ndeja_p_ru,ndeja_p_u,ndeja_p_ur,ndeja_ur_f,ndf_es_ru,ndf_es_ur,ndf_mun_ru,ndf_mun_ur,ndf_pa_ru,ndf_pa_ur,ndm_es_ru,ndm_es_ur,ndm_mun_ru,ndm_mun_ur,ndm_pa_ru,ndm_pa_ur,ndm_ru_fe,ndm_ur_fe,ndp_es_ru,ndp_es_u,ndp_es_ur,ndp_mun_ru,ndp_pa_r,ndp_pa_ru,ndp_pa_u,ndp_pa_ur,ndp_ru_fe,ndp_ur_fe
1715101,3,Novo Acordo,0.22095564,3.47995286,1715101,,,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,14,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1720150,1,São Félix do Tocantins,0.15755737,3.10233608,1720150,,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,1,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1713700,2,Monte Santo do Tocantins,0.08847385,2.32616774,1713700,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701101,0,Aparecida do Rio Negro,0.09557296,1.8260376,1701101,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,25,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703107,0,Barrolândia,0.05751485,1.74372912,1703107,,,0,0,0,5,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,18,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712009,1,Lajeado,0.02623502,0.95012863,1712009,,,0,0,0,4,6,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,11,12,20,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1712504,1,Marianópolis do Tocantins,0.17219996,2.79480356,1712504,,,0,0,0,11,3,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,16,24,9,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1713205,2,Miracema do Tocantins,0.21949634,3.59799081,1713205,,,0,1,0,36,24,0,4,0,11,0,0,0,0,14,30,0,0,0,0,0,0,0,0,98,47,27,0,16,0,52,0,0,0,0,0,0,0,8,1,3,0,0,0,11,0,0
1707108,3,Divinópolis do Tocantins,0.19429197,3.85075173,1707108,,,0,0,0,13,9,0,0,0,0,4,0,0,0,9,12,0,0,0,0,0,0,0,0,25,0,27,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1721109,3,Tocantínia,0.21495268,2.58245787,1721109,,,0,0,0,8,5,0,0,0,0,0,0,22,9,8,10,7,1,0,0,0,0,0,71,22,19,21,0,0,12,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
