cod_ibge,nome,nmc_mru,nmc_mur,nmc_pru,nmc_pur,nmee_eur,nmee_mur,nmee_pur,nmee_ru,nmeef_eru,nmeef_eur,nmeef_mru,nmeef_pur,nmeem_eru,nmeem_eur,nmeem_fur,nmeem_mur,nmeem_pru,nmeem_pur,nmef_eru,nmef_eur,nmef_mru,nmef_mu,nmef_mur,nmef_pru,nmef_pur,nmem_eru,nmem_eur,nmem_mru,nmem_pru,nmem_pur,nmem_ruf,nmem_urf,nmep_eur,nmep_fru,nmep_fur,nmep_pru,nmep_pur,nmpe_mru,nmpe_mur,nmpe_pru,nmpe_pur
1716653,Pequizeiro,0,99,0,0,0,0,0,0,0,10,50,0,0,39,0,0,0,0,0,162,403,15,352,0,0,0,225,0,0,0,0,0,0,0,0,0,0,28,97,0,0
1711803,Juarina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,229,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,40,0,0
1710904,Itapiratins,0,57,0,0,0,0,0,0,0,23,0,0,0,30,0,0,0,0,0,286,90,0,325,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,85,0,0
1703842,Campos Lindos,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,491,475,85,1305,0,0,0,393,0,0,0,0,0,0,0,0,0,0,9,111,0,0
1705508,Colinas do Tocantins,0,649,0,25,63,0,0,0,0,0,0,0,0,354,0,0,0,0,0,2787,11,156,1910,0,339,0,1262,44,0,134,0,0,0,0,0,0,63,2,901,0,86
1703206,Bernardo Sayão,0,85,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,147,333,0,297,0,0,0,239,0,0,0,0,0,0,0,0,0,0,49,74,0,0
1703057,Bandeirantes do Tocantins,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,92,0,238,0,0,0,162,0,0,0,0,0,0,0,0,0,0,30,74,0,0
1702307,Arapoema,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,0,59,532,0,0,0,360,0,0,0,0,0,0,0,0,0,43,0,212,0,0
1709005,Goiatins,133,145,0,0,0,0,0,0,0,0,18,0,0,40,0,0,0,0,869,427,1030,58,652,0,0,194,433,0,0,0,0,0,0,0,0,0,0,252,204,0,0
1715705,Palmeirante,0,0,0,0,0,0,0,0,0,17,37,0,0,0,0,0,0,0,0,383,449,9,137,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,73,0,0
1714880,Nova Olinda,0,228,0,0,61,0,0,0,0,0,0,0,0,153,0,0,0,0,0,704,327,57,975,0,0,0,508,0,0,0,0,0,0,0,0,0,202,31,249,0,0
