cod_ibge,nome,cod_ibge_1_1,nome_1,ti_snf_eur,ti_stf_eru,ti_stf_mru,ti_stf_mur,ti_stf_pru,ti_stf_pur,ti_stm_eru,ti_stm_eur,ti_stm_fru,ti_stm_fur,ti_stm_mru,ti_stm_pru,ti_stm_pur
1708304,Goianorte,1708304,Goianorte,24.5,20,0,17.7,0,0,0,30.2,0,0,0,0,0
1718881,Santa Maria do Tocantins,1718881,Santa Maria do Tocantins,7.5,0,26,21.2,0,0,0,31.4,0,0,0,0,0
1716703,Colméia,1716703,ColmÃ©ia,11.4,19,14,9.2,0,0,36,18.1,0,0,0,0,0
1701903,Araguacema,1701903,Araguacema,23.7,0,32,13.1,0,0,0,34.3,0,0,0,0,0
1718501,Recursolândia,1718501,RecursolÃ¢ndia,20.6,0,38,37.8,0,0,0,46.3,0,0,0,0,0
1718402,Presidente Kennedy,1718402,Presidente Kennedy,15,0,0,7.3,0,0,0,15.6,0,0,0,0,0
1706001,Couto de Magalhães,1706001,Couto de MagalhÃ£es,20.4,26,15,22.3,0,0,44,32.1,0,0,0,0,0
1711100,Itaporã do Tocantins,1711100,ItaporÃ£ do Tocantins,26.2,0,0,21.1,0,0,0,30.1,0,0,0,0,0
1710508,Itacajá,1710508,ItacajÃ¡,25,49,18,14.1,0,0,78,25.7,0,0,0,0,0
1703602,Brasilândia do Tocantins,1703602,BrasilÃ¢ndia do Tocantins,33.1,0,0,17.1,0,0,0,25.5,0,0,0,0,0
1721307,Tupiratins,1721307,Tupiratins,34,0,20,15.5,0,0,0,37.7,0,0,0,0,0
1716653,Pequizeiro,1716653,Pequizeiro,21.7,0,19,11.4,0,0,0,22.7,0,0,0,0,0
1711803,Juarina,1711803,Juarina,42.1,0,0,20.3,0,0,0,33.6,0,0,0,0,0
1710904,Itapiratins,1710904,Itapiratins,29.9,0,23,13.8,0,0,0,33,0,0,0,0,0
1703842,Campos Lindos,1703842,Campos Lindos,29,0,33,31.5,0,0,0,43.5,0,0,0,0,0
1705508,Colinas do Tocantins,1705508,Colinas do Tocantins,18.5,0,18,20.6,0,3,0,31.8,0,0,38,0,5
1703206,Bernardo Sayão,1703206,Bernardo SayÃ£o,17.9,0,14,15.2,0,0,0,27.3,0,0,0,0,0
1703057,Bandeirantes do Tocantins,1703057,Bandeirantes do Tocantins,13.7,0,22,17.9,0,0,0,23,0,0,0,0,0
1702307,Arapoema,1702307,Arapoema,30.3,0,0,12.2,0,0,0,32.2,0,0,0,0,0
1709005,Goiatins,1709005,Goiatins,28.7,59,33,25.4,0,0,84,43.3,0,0,0,0,0
1715705,Palmeirante,1715705,Palmeirante,23.5,0,36,2.9,0,0,0,52,0,0,0,0,0
1714880,Nova Olinda,1714880,Nova Olinda,24.6,0,41,20.7,0,13,0,30.3,0,0,0,0,0
1703073,Barra do Ouro,1703073,Barra do Ouro,31,31,31,19.2,0,0,29,32.7,0,0,0,0,0
1716307,Pau d'Arco,1716307,Pau d'Arco,22.8,0,25,28.5,0,0,0,37.8,0,0,0,0,0
1707702,Filadélfia,1707702,FiladÃ©lfia,28.4,0,40,26.7,0,0,0,46.3,0,0,0,0,0
1702109,Araguaína,1702109,AraguaÃ­na,22.6,0,17,8.8,0,5,0,33.3,0,12,0,0,6
1703883,Carmolândia,1703883,CarmolÃ¢ndia,27,0,0,19.7,0,0,0,24,0,0,0,0,0
1703008,Babaçulândia,1703008,BabaÃ§ulÃ¢ndia,25.8,0,37,4.8,0,0,0,34.1,0,0,0,0,0
1718865,Santa Fé do Araguaia,1718865,Santa FÃ© do Araguaia,24.8,56,27,29.3,0,3,60,41.3,0,0,0,0,0
1713957,Muricilândia,1713957,MuricilÃ¢ndia,33.3,0,25,12.5,0,0,0,42.3,0,0,0,0,0
1701309,Aragominas,1701309,Aragominas,37.7,0,24,14.3,0,0,0,51.7,0,0,0,0,0
1722081,Wanderlândia,1722081,WanderlÃ¢ndia,23,0,19,10.3,0,0,0,31.3,0,0,0,0,0
1706506,Darcinópolis,1706506,DarcinÃ³polis,48.7,0,26,21.6,0,0,0,47,0,0,0,0,0
1702158,Araguanã,1702158,AraguanÃ£,38.7,0,16,33.6,0,0,0,41.6,0,0,0,0,0
1713809,Palmeiras do Tocantins,1713809,Palmeiras do Tocantins,37.6,0,18,21.4,0,0,0,42.4,0,0,0,0,0
1717206,Piraquê,1717206,PiraquÃª,30.3,0,21,13,0,0,0,42.3,0,0,0,0,0
1700301,Aguiarnópolis,1700301,AguiarnÃ³polis,18.9,0,50,23.2,0,0,0,24.4,0,0,0,0,0
1720002,Santa Terezinha do Tocantins,1720002,Santa Terezinha do Tocantins,33.6,0,23,15.4,0,0,0,38.5,0,0,0,0,0
1718550,Riachinho,1718550,Riachinho,32.7,0,29,20.2,0,0,0,37.9,0,0,0,0,0
