ano,sigla_uf,quantidade_cvli,quantidade_feminicidio,quantidade_ocorrencia_homicidio_doloso,quantidade_vitima_homicidio_doloso,quantidade_latrocinio,quantidade_lesao_corporal_seguida_de_morte,quantidade_morte_a_esclarecer,quantidade_morte_intervencao_policial_civil_servico,quantidade_morte_intervencao_policial_civil_fora_servico,quantidade_morte_intervencao_policial_militar_servico,quantidade_morte_intervencao_policial_militar_fora_servico,quantidade_morte_violenta_intencional,quantidade_policial_civil_morto_confronto_servico,quantidade_policial_civil_morto_confronto_fora_servico,quantidade_policial_militar_morto_confronto_servico,quantidade_policial_militar_morto_confronto_fora_servico,quantidade_suicidio,quantidade_estupro,quantidade_tentativa_estupro,quantidade_furto_veiculo,quantidade_roubo_instituicao_financeira,quantidade_roubo_carga,quantidade_roubo_de_veiculo,quantidade_arma_fogo_apreendida,quantidade_registro_pessoa_desaparecida,quantidade_populacao_sistema_penitenciario,despesa_empenhada_seguranca_publica
2010,PA,3604,0,3370,0,223,11,0,0,0,0,0,0,0,0,0,0,111,1471,,0,73,90,3074,0,2501,0,0.0
2010,PB,1460,0,1438,0,17,5,43,0,2,5,0,0,0,0,0,0,86,261,46,0,45,7,331,0,96,0,0.0
2010,PE,3393,0,3243,0,122,28,0,2,1,29,10,0,2,4,28,4,343,1861,324,0,35,124,5483,0,1493,0,0.0
2010,PI,242,0,240,0,1,1,28,0,0,0,0,0,1,0,0,0,65,281,69,0,0,0,534,0,123,0,0.0
2010,PR,3595,0,3276,0,101,218,0,0,0,119,0,0,0,0,19,0,635,2643,292,0,324,,6964,0,3510,0,0.0
2010,RJ,4606,0,4418,0,146,42,1447,0,0,0,0,0,5,0,15,0,273,4467,341,0,55,2619,20052,0,5473,0,0.0
2010,RN,953,0,808,0,13,132,212,0,0,5,0,0,1,0,0,0,76,698,1030,0,9,3,1847,0,54,0,0.0
2010,RO,582,0,548,0,26,8,290,1,0,4,1,0,0,0,0,1,97,735,153,0,11,11,634,0,887,0,0.0
2010,RR,83,0,80,0,3,0,117,0,0,0,0,0,0,0,0,0,20,306,60,0,0,0,57,0,151,0,0.0
2010,RS,1814,0,1653,0,74,87,1260,0,0,0,0,0,0,0,0,0,876,3373,,0,30,274,10550,0,8630,0,0.0
2010,SC,643,0,504,0,41,98,923,0,0,0,0,0,0,0,0,0,559,2118,572,0,56,107,1802,0,2658,0,0.0
2010,SE,657,0,629,0,20,8,416,13,0,4,0,0,1,3,0,1,33,292,51,0,2,13,549,0,99,0,0.0
2010,SP,4574,0,4321,0,253,0,0,15,7,495,0,0,11,0,14,0,0,9879,0,0,211,7294,68582,0,23724,0,0.0
2010,TO,263,0,255,0,5,3,138,0,0,5,0,0,0,0,0,0,41,344,63,0,20,8,144,0,216,0,0.0
2011,AC,148,0,137,0,11,0,12,0,0,2,0,148,0,0,0,0,27,225,57,0,12,0,253,0,362,0,454915616.42573112
2011,AL,2399,0,2342,0,36,21,34,0,0,2,0,2401,0,0,0,0,113,387,39,0,30,81,1647,0,214,0,1156902298.8260319
2011,AM,1096,0,1033,0,43,20,76,1,1,3,1,1102,1,1,0,8,38,1058,240,0,64,60,6499,0,564,0,1310339510.649699
2011,AP,23,0,23,0,0,0,0,0,0,3,0,26,0,0,0,0,0,10,2,0,3,0,11,0,,0,493902125.44910842
2011,BA,5764,0,5431,0,144,212,480,60,0,224,3,6051,4,0,6,1,412,2068,288,0,135,215,10510,0,,0,4159170807.4313879
2011,CE,2762,0,2623,0,76,63,569,0,0,0,0,2762,0,0,0,0,458,1331,1,0,,143,3744,0,,0,1562044939.451751
2011,DF,761,0,704,0,44,13,52,0,0,0,0,761,0,0,0,2,96,735,81,0,0,10,2769,0,2715,0,507655625.072165
2011,ES,1483,0,1457,0,22,4,415,1,0,4,1,1489,0,0,0,0,101,694,67,0,22,37,2992,0,3212,0,1305730180.2059541
2011,GO,1049,0,998,0,45,6,523,0,0,6,2,1055,0,1,2,0,95,1222,163,0,31,106,4166,0,2975,0,2126487455.463243
2011,MA,1545,0,1229,0,98,218,6,0,0,1,0,1546,0,1,1,4,114,972,304,0,20,31,1085,0,713,0,1156511230.70468
2011,MG,3780,0,3630,0,90,60,2323,0,0,0,0,3780,0,0,0,0,1094,1760,597,0,197,713,4065,0,,0,10716751741.580231
2011,MS,459,0,433,0,19,7,462,0,0,0,0,459,0,0,0,0,111,1008,81,0,8,4,407,0,1443,0,1422302901.3001089
2011,MT,1015,0,944,0,49,22,277,0,1,10,6,1015,0,0,0,1,152,1063,114,0,52,8,2176,0,,0,1729230808.553046
2011,PA,1191,0,2914,0,140,44,0,8,0,70,0,1269,4,11,3,23,84,2100,,0,62,105,3056,0,2597,0,1877141957.501596
