cod_ibge,ano,id_classe,classe,area
1700251,2011,33,"5.1 Rio, Lago e Oceano",1.449958314941403
1700251,2011,39,3.2.1.1. Soja,4.1453202373656879
1700251,2011,4,1.2. Formação Savânica,958.29304214969193
1700251,2011,41,3.2.1.5. Outras Lavouras Temporárias,0.0749632076416016
1700251,2012,11,2.1. Campo Alagado e Área Pantanosa,11.14446650488286
1700251,2012,12,2.2. Formação Campestre,129.2037393203729
1700251,2012,15,3.1. Pastagem,571.25331260660755
1700251,2012,21,3.4. Mosaico de Usos,12.62588338519287
1700251,2012,24,4.2. Área Urbanizada,0.68774766790771447
1700251,2012,25,4.4. Outras Áreas não Vegetadas,6.1774308312988353
1700251,2012,3,1.1 Formação Florestal,224.27419094763539
1700251,2012,33,"5.1 Rio, Lago e Oceano",1.38728704937744
1700251,2012,39,3.2.1.1. Soja,5.8118192382811609
1700251,2012,4,1.2. Formação Savânica,943.52369064956588
1700251,2012,41,3.2.1.5. Outras Lavouras Temporárias,0.17642973480224611
1700251,2012,9,3.3. Silvicultura,0.0008817983398437
1700251,2013,11,2.1. Campo Alagado e Área Pantanosa,11.14091766003423
1700251,2013,12,2.2. Formação Campestre,134.1587245065314
1700251,2013,15,3.1. Pastagem,583.94480547085209
1700251,2013,21,3.4. Mosaico de Usos,14.140180765502929
1700251,2013,24,4.2. Área Urbanizada,0.68686594201660123
1700251,2013,25,4.4. Outras Áreas não Vegetadas,7.7867915202636286
1700251,2013,3,1.1 Formação Florestal,224.183378855168
1700251,2013,33,"5.1 Rio, Lago e Oceano",1.24433987713623
1700251,2013,39,3.2.1.1. Soja,6.5037103347776819
1700251,2013,4,1.2. Formação Savânica,921.49917342164724
1700251,2013,41,3.2.1.5. Outras Lavouras Temporárias,0.50534619500732381
1700251,2013,9,3.3. Silvicultura,0.47264518530273281
1700251,2014,11,2.1. Campo Alagado e Área Pantanosa,11.07559198461918
1700251,2014,12,2.2. Formação Campestre,142.09373059069711
1700251,2014,15,3.1. Pastagem,593.81028028603362
1700251,2014,21,3.4. Mosaico de Usos,19.826928160888841
1700251,2014,24,4.2. Área Urbanizada,0.689511166809082
1700251,2014,25,4.4. Outras Áreas não Vegetadas,7.8088712996215452
1700251,2014,3,1.1 Formação Florestal,222.67853215637589
1700251,2014,33,"5.1 Rio, Lago e Oceano",1.2628739902343751
1700251,2014,39,3.2.1.1. Soja,7.241891839843543
1700251,2014,4,1.2. Formação Savânica,898.22025972455458
1700251,2014,41,3.2.1.5. Outras Lavouras Temporárias,1.0839997396240231
1700251,2014,9,3.3. Silvicultura,0.47440879492187338
1700251,2015,11,2.1. Campo Alagado e Área Pantanosa,11.0005877355347
1700251,2015,12,2.2. Formação Campestre,152.96853345849661
1700251,2015,15,3.1. Pastagem,603.84941509224109
1700251,2015,21,3.4. Mosaico de Usos,24.473119670410281
1700251,2015,24,4.2. Área Urbanizada,0.69391979412841787
1700251,2015,25,4.4. Outras Áreas não Vegetadas,6.473172005920425
1700251,2015,3,1.1 Formação Florestal,221.427806034122
1700251,2015,33,"5.1 Rio, Lago e Oceano",1.1172508832397461
1700251,2015,39,3.2.1.1. Soja,16.82739323205551
1700251,2015,4,1.2. Formação Savânica,863.45027417511437
1700251,2015,41,3.2.1.5. Outras Lavouras Temporárias,3.5145260630493582
