cod_ibge,nome,sus_2006,priv_2006,sus_2007,priv_2007,sus_2008,priv_2008,sus_2009,priv_2009,sus_2010,priv_2010,sus_2011,priv_2011,sus_2012,priv_2012,sus_2013,priv_2013,sus_2014,priv_2014,sus_2015,priv_2015,sus_2016,priv_2016,sus_2017,priv_2017,sus_2018,priv_2018,sus_2019,priv_2019
1718709,Rio dos Bois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716505,Pedro Afonso,29,0,29,0,29,0,29,0,30,0,35,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0
1708254,Tabocão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712405,Lizarda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707207,Dois Irmãos do Tocantins,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,18,0,9,0,9,0,9,0
1703305,Bom Jesus do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1704105,Centenário,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1721257,Tupirama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1708304,Goianorte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718881,Santa Maria do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716703,Colméia,9,0,9,0,9,0,11,0,9,0,9,0,9,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0
1701903,Araguacema,5,0,5,0,5,0,5,0,5,0,5,0,7,0,7,0,17,0,17,0,17,0,17,0,17,0,17,0
1718501,Recursolândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718402,Presidente Kennedy,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1706001,Couto de Magalhães,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1711100,Itaporã do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
