cod_ibge,nome,visce_2007,tegum_2007,visce_2008,tegum_2008,visce_2009,tegum_2009,visce_2010,tegum_2010,visce_2011,tegum_2011,visce_2012,tegum_2012,visce_2013,tegum_2013,visce_2014,tegum_2014,visce_2015,tegum_2015,visce_2016,tegum_2016,visce_2017,tegum_2017,visce_2018,tegum_2018
1701002,Ananás,13,13,4,8,8,6,2,2,10,10,0,3,1,12,0,13,2,11,0,3,0,3,1,8
1712801,Maurilândia do Tocantins,1,1,0,0,0,0,0,4,0,4,0,3,0,4,0,2,0,1,0,0,0,0,1,0
1720101,São Bento do Tocantins,6,6,0,3,0,4,0,3,0,0,0,0,0,12,0,8,1,12,0,1,1,1,0,1
1710706,Itaguatins,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1702901,Axixá do Tocantins,1,1,0,0,3,1,0,3,2,3,0,4,0,0,0,3,0,2,0,0,0,4,0,3
1720804,Sítio Novo do Tocantins,9,9,2,5,2,4,3,1,0,4,0,4,1,3,1,5,0,4,0,2,0,3,0,0
1720200,São Miguel do Tocantins,1,1,0,1,0,2,2,0,0,1,0,5,0,2,1,6,5,5,0,2,0,1,0,1
1702554,Augustinópolis,7,7,16,2,15,4,20,0,14,0,16,2,10,2,8,3,11,2,17,3,9,1,16,2
1718303,Praia Norte,0,0,0,2,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
1702208,Araguatins,7,7,29,1,33,7,11,3,14,7,5,3,4,0,0,11,2,8,5,3,3,1,0,3
1703800,Buriti do Tocantins,1,1,3,1,5,2,3,0,4,0,0,1,1,2,0,0,1,1,0,0,0,0,1,1
1703891,Carrasco Bonito,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1
1718808,Sampaio,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1707405,Esperantina,0,0,0,1,0,2,0,2,1,0,1,4,0,0,0,4,0,0,0,0,0,5,0,2
1720309,São Sebastião do Tocantins,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
1712157,Lavandeira,1,1,0,4,0,0,0,0,0,7,0,4,0,5,0,0,0,5,0,0,0,8,0,4
1702703,Aurora do Tocantins,9,9,1,2,0,2,0,6,0,3,0,10,0,5,0,10,0,11,0,1,0,6,0,1
1717800,Ponte Alta do Bom Jesus,2,2,0,0,0,4,0,1,0,1,0,0,0,2,0,5,0,0,0,1,0,0,0,0
1715259,Novo Jardim,2,2,0,3,0,4,0,2,0,5,0,4,0,0,0,0,0,4,0,2,0,0,0,1
1707009,Dianópolis,14,14,1,3,3,13,0,12,1,7,0,9,0,5,3,27,2,9,1,1,0,7,1,4
1718659,Rio da Conceição,1,1,0,1,0,0,0,2,0,2,0,1,0,0,0,3,0,2,0,1,0,0,0,0
1712702,Mateiros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
1709302,Guaraí,21,21,0,19,2,21,3,21,8,7,1,14,0,20,0,18,2,18,1,5,2,4,0,2
