ano,sigla_uf,id_municipio,recusa,tipo_administracao,existencia_adm_indireta,tipo_vinculo,escolaridade,quantidade_vinculo
2020,TO,1700251,0,Indireta,0,Estatutários,Total,
2020,TO,1700251,0,Indireta,0,Celetistas,Total,
2020,TO,1700251,0,Indireta,0,Somente comissionados,Total,
2020,TO,1700251,0,Indireta,0,Estagiários,Total,
2020,TO,1700251,0,Indireta,0,Sem vínculo permanente,Total,
2021,TO,1700251,0,Direta,0,Estatutários,Total,75
2021,TO,1700251,0,Direta,0,Celetistas,Total,0
2021,TO,1700251,0,Direta,0,Somente comissionados,Total,36
2021,TO,1700251,0,Direta,0,Estagiários,Total,0
2021,TO,1700251,0,Direta,0,Sem vínculo permanente,Total,128
2021,TO,1700251,0,Indireta,0,Estatutários,Total,
2021,TO,1700251,0,Indireta,0,Celetistas,Total,
2021,TO,1700251,0,Indireta,0,Somente comissionados,Total,
2021,TO,1700251,0,Indireta,0,Estagiários,Total,
2021,TO,1700251,0,Indireta,0,Sem vínculo permanente,Total,
2018,TO,1700301,0,Direta,0,Estatutários,Total,230
2018,TO,1700301,0,Direta,0,Estatutários,Sem instrução,7
2018,TO,1700301,0,Direta,0,Estatutários,Ensino fundamental,44
2018,TO,1700301,0,Direta,0,Estatutários,Ensino médio,136
2018,TO,1700301,0,Direta,0,Estatutários,Ensino superior,43
2018,TO,1700301,0,Direta,0,Estatutários,Pós-graduação,0
2018,TO,1700301,0,Direta,0,Celetistas,Total,0
2018,TO,1700301,0,Direta,0,Celetistas,Sem instrução,0
2018,TO,1700301,0,Direta,0,Celetistas,Ensino fundamental,0
2018,TO,1700301,0,Direta,0,Celetistas,Ensino médio,0
2018,TO,1700301,0,Direta,0,Celetistas,Ensino superior,0
2018,TO,1700301,0,Direta,0,Celetistas,Pós-graduação,0
2018,TO,1700301,0,Direta,0,Somente comissionados,Total,128
2018,TO,1700301,0,Direta,0,Somente comissionados,Sem instrução,2
2018,TO,1700301,0,Direta,0,Somente comissionados,Ensino fundamental,17
2018,TO,1700301,0,Direta,0,Somente comissionados,Ensino médio,83
2018,TO,1700301,0,Direta,0,Somente comissionados,Ensino superior,26
2018,TO,1700301,0,Direta,0,Somente comissionados,Pós-graduação,0
2018,TO,1700301,0,Direta,0,Estagiários,Total,0
2018,TO,1700301,0,Direta,0,Estagiários,Ensino fundamental,0
2018,TO,1700301,0,Direta,0,Estagiários,Ensino médio,0
2018,TO,1700301,0,Direta,0,Estagiários,Ensino superior,0
2018,TO,1700301,0,Direta,0,Estagiários,Pós-graduação,0
2018,TO,1700301,0,Direta,0,Sem vínculo permanente,Total,0
2018,TO,1700301,0,Direta,0,Sem vínculo permanente,Sem instrução,0
2018,TO,1700301,0,Direta,0,Sem vínculo permanente,Ensino fundamental,0
2018,TO,1700301,0,Direta,0,Sem vínculo permanente,Ensino médio,0
2018,TO,1700301,0,Direta,0,Sem vínculo permanente,Ensino superior,0
2018,TO,1700301,0,Direta,0,Sem vínculo permanente,Pós-graduação,0
2018,TO,1700301,0,Indireta,0,Estatutários,Total,
2018,TO,1700301,0,Indireta,0,Estatutários,Sem instrução,
2018,TO,1700301,0,Indireta,0,Estatutários,Ensino fundamental,
2018,TO,1700301,0,Indireta,0,Estatutários,Ensino médio,
2018,TO,1700301,0,Indireta,0,Estatutários,Ensino superior,
2018,TO,1700301,0,Indireta,0,Estatutários,Pós-graduação,
2018,TO,1700301,0,Indireta,0,Celetistas,Total,
2018,TO,1700301,0,Indireta,0,Celetistas,Sem instrução,
2018,TO,1700301,0,Indireta,0,Celetistas,Ensino fundamental,
2018,TO,1700301,0,Indireta,0,Celetistas,Ensino médio,
2018,TO,1700301,0,Indireta,0,Celetistas,Ensino superior,
2018,TO,1700301,0,Indireta,0,Celetistas,Pós-graduação,
2018,TO,1700301,0,Indireta,0,Somente comissionados,Total,
2018,TO,1700301,0,Indireta,0,Somente comissionados,Sem instrução,
2018,TO,1700301,0,Indireta,0,Somente comissionados,Ensino fundamental,
2018,TO,1700301,0,Indireta,0,Somente comissionados,Ensino médio,
