cod_ibge,ano,mes,acessos_densidade
1711902,2022,12,14.1810570382
1711902,2023,12,13.304552590267
1711902,2024,12,13.621873467386
1711951,2019,12,5.0046339202966
1711951,2020,12,1.2747552925108
1711951,2021,12,1.2080536912752
1711951,2022,12,4.4653014789534
1711951,2023,12,8.617747440273
1711951,2024,12,5.983379501385
1712009,2019,12,4.5309508615188
1712009,2020,12,7.3255446795074
1712009,2021,12,5.9080962800875
1712009,2022,12,8.7578194816801
1712009,2023,12,10.157879058683
1712009,2024,12,7.6704545454545
1712157,2019,12,4.0041601664067
1712157,2020,12,3.7359263050154
1712157,2021,12,3.679435483871
1712157,2022,12,3.690036900369
1712157,2023,12,3.690036900369
1712157,2024,12,3.1081888822475
1712405,2019,12,1.0160427807487
1712405,2020,12,1.1518885614787
1712405,2021,12,1.4757177354441
1712405,2022,12,2.0340113371124
1712405,2023,12,2.3007669223074
1712405,2024,12,3.4436643263123
1712454,2019,12,1.0617760617761
1712454,2020,12,0.98287888395688
1712454,2021,12,0.8125
1712454,2022,12,0.99374309900626
1712454,2023,12,0.88332719911667
1712454,2024,12,0.67784516589369
1712504,2019,12,9.5072463768116
1712504,2020,12,1.941377997716
1712504,2021,12,1.4441110277569
1712504,2022,12,1.3217768147346
1712504,2023,12,1.7551462621885
1712504,2024,12,2.1374685666387
1712702,2019,12,1.6393442622951
1712702,2020,12,1.3924514474166
1712702,2021,12,1.6227912008655
1712702,2022,12,2.5109170305677
1712702,2023,12,3.4570596797671
1712702,2024,12,4.0858725761773
1712801,2019,12,1.8096906012843
1712801,2020,12,1.5951276102088
1712801,2021,12,1.4121037463977
1712801,2022,12,1.2924071082391
1712801,2023,12,0.87237479806139
1712801,2024,12,0.59918006937874
1713205,2019,12,9.9517755370452
1713205,2020,12,9.6231043710972
1713205,2021,12,11.124347628772
1713205,2022,12,8.7687170095874
1713205,2023,12,10.503070128191
1713205,2024,12,9.8844945973279
1713304,2019,12,9.2824177460176
1713304,2020,12,9.6049803601868
1713304,2021,12,8.7447420854549
1713304,2022,12,3.1651051098339
1713304,2023,12,2.3462719470908
1713304,2024,12,1.4935661764706
1713601,2019,12,1.5603372341764
1713601,2020,12,1.8720555417803
1713601,2021,12,1.759960889758
1713601,2022,12,2.31822971549
1713601,2023,12,3.0382859149982
1713601,2024,12,4.4215309332401
1713700,2019,12,1.4918824045634
1713700,2020,12,1.3943355119826
1713700,2021,12,1.3414106447425
1713700,2022,12,1.2938230383973
1713700,2023,12,1.8363939899833
1713700,2024,12,2.84
1713809,2019,12,1.6821868428958
1713809,2020,12,1.5567086730912
1713809,2021,12,2.913616398243
1713809,2022,12,3.6124794745484
1713809,2023,12,4.4334975369458
1713809,2024,12,3.1447825199101
1713957,2019,12,2.6471416502394
1713957,2020,12,1.0315026484527
1713957,2021,12,0.8832459287883
1713957,2022,12,0.83160083160083
1713957,2023,12,2.4057024057024
1713957,2024,12,1.3486370157819
1714203,2019,12,6.5772392903505
1714203,2020,12,5.9351351351351
1714203,2021,12,5.5639585133967
1714203,2022,12,5.3461274845785
1714203,2023,12,5.2547406899703
1714203,2024,12,4.5977011494253
1714302,2019,12,1.4366341713699
1714302,2020,12,1.1997913406364
1714302,2021,12,1.0604453870626
1714302,2022,12,1.1280690112807
1714302,2023,12,1.0617120106171
1714302,2024,12,0.75107296137339
1714880,2019,12,1.8529486420171
1714880,2020,12,5.9410925568516
1714880,2021,12,7.2665223905444
1714880,2022,12,8.2859072055561
1714880,2023,12,8.584932960355
1714880,2024,12,8.3513997549251
1715002,2019,12,2.2300469483568
1715002,2020,12,1.7193308550186
1715002,2021,12,1.5639374425023
1715002,2022,12,8.5663295657347
1715002,2023,12,8.5068411659726
1715002,2024,12,8.1692624155157
1715101,2019,12,1.5891294334408
1715101,2020,12,1.4555378667273
1715101,2021,12,1.3258426966292
1715101,2022,12,2.1919879062736
1715101,2023,12,2.9982363315697
1715101,2024,12,3.4861043393467
1715150,2019,12,4.5025728987993
1715150,2020,12,3.8593481989708
1715150,2021,12,3.3018867924528
1715150,2022,12,2.7085590465872
1715150,2023,12,2.112676056338
1715150,2024,12,1.1950027159153
1715259,2019,12,1.4327700220426
1715259,2020,12,1.6029143897996
1715259,2021,12,2.8179190751445
1715259,2022,12,2.914798206278
1715259,2023,12,2.5112107623318
1715259,2024,12,2.8722934158197
1715507,2019,12,0.80935251798561
1715507,2020,12,0.53667262969589
1715507,2021,12,0.62277580071174
1715507,2022,12,0.6872852233677
1715507,2023,12,0.94501718213058
1715507,2024,12,1.0734929810074
1715705,2019,12,2.1573182874212
1715705,2020,12,1.7941608220519
1715705,2021,12,2.8392685274302
1715705,2022,12,3.751563151313
1715705,2023,12,6.1900791996665
1715705,2024,12,9.1057241800774
1715754,2019,12,3.1727379553467
1715754,2020,12,6.4095883272538
1715754,2021,12,6.8624902521445
1715754,2022,12,11.36917562724
1715754,2023,12,12.229390681004
1715754,2024,12,15.100435454418
1716109,2019,12,5.5802700382424
1716109,2020,12,5.3920718429015
1716109,2021,12,4.6743207478913
1716109,2022,12,9.81474407945
1716109,2023,12,12.161955691367
1716109,2024,12,13.64476832717
1716208,2019,12,3.5027275337353
1716208,2020,12,4.4361406534445
1716208,2021,12,4.3449069633608
1716208,2022,12,4.9800796812749
1716208,2023,12,6.5642193132233
1716208,2024,12,6.9375345494748
1716307,2019,12,1.4229738090328
1716307,2020,12,1.5204438052188
1716307,2021,12,1.1463664278403
1716307,2022,12,1.2367054167697
1716307,2023,12,0.79149146673262
1716307,2024,12,0.83231334149327
1716505,2019,12,7.092355280601
1716505,2020,12,5.2639221665578
1716505,2021,12,8.2712689773704
1716505,2022,12,10.907150480256
1716505,2023,12,14.300960512273
1716505,2024,12,9.3951530785419
1716604,2019,12,4.1620563452209
1716604,2020,12,2.1645750863303
1716604,2021,12,2.4924974991664
1716604,2022,12,2.9193946549318
1716604,2023,12,9.5202318342814
1716604,2024,12,10.606060606061
1716653,2019,12,3.3047288661676
1716653,2020,12,3.1023222060958
1716653,2021,12,3.7504507753336
1716653,2022,12,4.0235724446251
1716653,2023,12,3.5358666937614
1716653,2024,12,5.4188169908694
1716703,2019,12,5.7647775746496
1716703,2020,12,5.3801744257462
1716703,2021,12,7.4275810844268
1716703,2022,12,3.4000671065876
1716703,2023,12,2.8520299742758
1716703,2024,12,4.8591395501201
1717008,2019,12,2.4735776928266
1717008,2020,12,2.5056433408578
1717008,2021,12,2.8772088808337
1717008,2022,12,2.5011165698973
1717008,2023,12,2.5234479678428
1717008,2024,12,2.4586597040905
1717206,2019,12,1.8824306472919
1717206,2020,12,2.0112100230795
1717206,2021,12,1.3824884792627
1717206,2022,12,1.6652059596845
1717206,2023,12,1.489921121823
1717206,2024,12,2.5165562913907
1717503,2019,12,2.5476874836687
1717503,2020,12,2.02763786646
1717503,2021,12,1.6219667943806
1717503,2022,12,4.8400673400673
1717503,2023,12,5.6397306397306
1717503,2024,12,5.735593220339
1717800,2019,12,1.6753698868581
1717800,2020,12,1.6554127641037
1717800,2021,12,1.7444395987789
1717800,2022,12,1.8720379146919
1717800,2023,12,2.1090047393365
1717800,2024,12,2.4912689173458
1717909,2019,12,1.5300410498818
1717909,2020,12,1.9221291276491
1717909,2021,12,4.55322265625
1717909,2022,12,8.6870551015028
1717909,2023,12,9.372528341682
1717909,2024,12,10.048457026269
1718006,2019,12,1.592863969417
1718006,2020,12,1.6719242902208
1718006,2021,12,1.4375
1718006,2022,12,1.1165387299372
1718006,2023,12,1.1514305652477
1718006,2024,12,1.3884185573993
1718204,2019,12,16.181852480664
1718204,2020,12,15.138044864581
1718204,2021,12,12.881868029393
1718204,2022,12,13.435685677916
1718204,2023,12,15.30938557546
1718204,2024,12,14.465757421049
1718303,2019,12,0.55740037950664
1718303,2020,12,0.54130383619675
1718303,2021,12,0.42041340651641
1718303,2022,12,0.37593984962406
1718303,2023,12,0.29854046881911
1718303,2024,12,0.35940803382664
1718402,2019,12,28.365906623236
1718402,2020,12,32.236126224157
1718402,2021,12,5.2344601962923
1718402,2022,12,5.2182474565146
1718402,2023,12,4.725959960617
1718402,2024,12,15.437561455261
1718451,2019,12,3.3854166666667
1718451,2020,12,2.5763709974236
1718451,2021,12,2.1849963583394
1718451,2022,12,2.0975832193342
1718451,2023,12,1.9151846785226
1718451,2024,12,2.017032720753
1718501,2019,12,1.420917773119
1718501,2020,12,1.7273146015661
1718501,2021,12,1.5265436318068
1718501,2022,12,1.6661794796843
1718501,2023,12,1.9292604501608
1718501,2024,12,2.4776721405935
1718550,2019,12,1.3778256189451
1718550,2020,12,1.2382578992314
1718550,2021,12,1.0374761803938
1718550,2022,12,0.88383838383838
1718550,2023,12,0.70707070707071
1718550,2024,12,2.3520673434018
1718659,2019,12,0.98591549295775
1718659,2020,12,0.92123445416859
1718659,2021,12,0.90456806874717
1718659,2022,12,1.1877828054299
1718659,2023,12,1.4140271493213
1718659,2024,12,1.4270032930845
1718709,2019,12,4.4460127028934
1718709,2020,12,4.7619047619048
1718709,2021,12,7.0163251128864
1718709,2022,12,8.1446311176041
1718709,2023,12,1.8626734842951
1718709,2024,12,2.0825979527003
1718758,2019,12,1.142327878975
1718758,2020,12,1.7416769420469
1718758,2021,12,2.2314558325639
1718758,2022,12,5.3294773807065
1718758,2023,12,7.0646560627969
1718758,2024,12,8.3993330554398
1718808,2019,12,0.63680747187434
1718808,2020,12,0.52148518982061
1718808,2021,12,0.45118949958983
1718808,2022,12,0.4270462633452
1718808,2023,12,0.40332147093713
1718808,2024,12,0.20585544373285
1718840,2019,12,0.91851851851852
1718840,2020,12,0.88941595019271
1718840,2021,12,0.77128448531593
1718840,2022,12,0.99382218640881
1718840,2023,12,1.450443190975
1718840,2024,12,1.7299251226439
1718865,2019,12,1.1448349307774
1718865,2020,12,1.2508229098091
1718865,2021,12,1.133107580099
1718865,2022,12,0.98392461197339
