numero_distribuicao,ano,mes,ente,sigla_estado,codigo_ente,nome_ente,tipo_distribuicao,substancia,tipo_afetamento,valor,data_criacao
260,2007,9,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,907.8225,2007-07-31
260,2007,9,Município,TO,1716604.0,PEIXE,Produtor,MINÉRIO DE BERÍLIO,-,241.5075,2007-07-31
261,2007,9,Município,TO,1721000.0,PALMAS,Produtor,AREIA,-,202.8845,2007-01-31
261,2007,9,Município,TO,1718204.0,PORTO NACIONAL,Produtor,AREIA,-,149.4155,2007-07-31
261,2007,9,Município,TO,1718204.0,PORTO NACIONAL,Produtor,AREIA,-,76.076,2007-01-31
261,2007,9,Município,TO,1721000.0,PALMAS,Produtor,AREIA,-,42.6855,2007-07-31
261,2007,9,Município,TO,1721000.0,PALMAS,Produtor,CASCALHO,-,178.204,2007-07-31
261,2007,9,Município,TO,1718204.0,PORTO NACIONAL,Produtor,CASCALHO,-,66.8265,2007-07-31
261,2007,9,Município,TO,1718204.0,PORTO NACIONAL,Produtor,PEDREGULHO,-,155.9285,2007-07-31
261,2007,9,Município,TO,1721000.0,PALMAS,Produtor,SEIXOS,-,44.551,2007-07-31
262,2007,10,Município,TO,1707009.0,DIANÓPOLIS,Produtor,AREIA,-,356.4145,2007-06-30
262,2007,10,Município,TO,1707009.0,DIANÓPOLIS,Produtor,AREIA,-,250.575,2007-07-31
262,2007,10,Município,TO,1707009.0,DIANÓPOLIS,Produtor,AREIA,-,177.0925,2007-08-31
262,2007,10,Município,TO,1714203.0,NATIVIDADE,Produtor,CALCÁRIO,-,1550.3865,2007-08-31
262,2007,10,Município,TO,1703057.0,BANDEIRANTES DO TOCANTINS,Produtor,CALCÁRIO DOLOMÍTICO,-,6350.7405,2007-08-31
262,2007,10,Município,TO,1720903.0,TAGUATINGA,Produtor,CALCÁRIO DOLOMÍTICO,-,1132.885,2007-08-31
262,2007,10,Município,TO,1711902.0,LAGOA DA CONFUSÃO,Produtor,DOLOMITO,-,149.76,2007-08-31
262,2007,10,Município,TO,1702406.0,ARRAIAS,Produtor,FOSFATO,-,5218.5055,2007-07-31
262,2007,10,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,1822.1905,2007-07-31
